"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 15 19:17:58 IST 2020","Wed Jul 15 19:18:18 IST 2020","20272","Iquote TEST Automation Suite-http://iquoteuiautoapp:**/webcontroller.dll?start","Test-PremierPress-Port-81","com.testcases.Engineering.IQuote_8981_Engineering_1","com.testcases.Engineering.IQuote_8981_Engineering_1","ProcessButton","ProcessButton","Engineering Tool bar Verification"
"broken","Wed Jul 15 19:17:58 IST 2020","Wed Jul 15 19:18:18 IST 2020","20041","Iquote TEST Automation Suite-http://iquoteuiautoapp:**/webcontroller.dll?start","Test-PremierPress-Port-81","com.testcases.Engineering.IQuote_8981_Engineering_1","com.testcases.Engineering.IQuote_8981_Engineering_1","ProcessButton","Engineering Tool bar Verification","Tool bar: Engineering tools view by process (explore) btn"
